Time,Text
2022-11-18 23:28:04+00:00,"b'RT @DavidHundeyin: 1: The gender of the ""Bola A. Tinubu"" who was admitted into @ChicagoState\n\n2: The D.O.B. of the same ""Bola A. Tinubu""\n\n3\xe2\x80\xa6'"
2022-11-18 23:27:54+00:00,b'RT @legendkomedian: Bola Ahmed Tinubu followers are the foes of this country..\nThey are fanatical in their approach and radically subjectiv\xe2\x80\xa6'
2022-11-18 23:27:27+00:00,"b'RT @AkwariCharles: If you know any of Bola Ahmed Tinubu\xe2\x80\x99s classmate- primary, secondary or university I have 3 million naira for him/ her.'"
2022-11-18 23:27:03+00:00,b'RT @adamugarba: Here is my response to @DavidHundeyin \xe2\x80\x98s many conspiratorial publications againt Asiwaju Bola Ahmed Tinubu @officialABAT. I\xe2\x80\xa6'
2022-11-18 23:27:02+00:00,b'RT @Marvy_olu: Analyzed the plans of all presidential candidates and here is my opinion. \n\n- Who has a more robust economic plan? Tinubu!\xe2\x80\xa6'
2022-11-18 23:26:46+00:00,"b'RT @FirstObidient: If at this point you\xe2\x80\x99re still package Bola Ahmed Tinubu and the APC for us and you\xe2\x80\x99re processing your japa visa, I pray\xe2\x80\xa6'"
2022-11-18 23:26:32+00:00,b'RT @DavidHundeyin: My latest long read on @WestAfricaWeek tells the story of a 1990s Chicago heroin trafficking bagman who is being prepped\xe2\x80\xa6'
2022-11-18 23:26:14+00:00,"b'RT @FirstObidient: If at this point you\xe2\x80\x99re still package Bola Ahmed Tinubu and the APC for us and you\xe2\x80\x99re processing your japa visa, I pray\xe2\x80\xa6'"
2022-11-18 23:25:54+00:00,b'RT @mindset_tweet: Bola Ahmed Tinubu is Physically and mentally unfit to be a Presidential candidate'
2022-11-18 23:25:45+00:00,"b'RT @RealOlaudah: Imo State APC members refused to give audience to Alhaji Kashim Shettima, a known Igbo hater, after condoning the uncoordi\xe2\x80\xa6'"
2022-11-18 23:25:44+00:00,"b""RT @kokomatic: Meet Bola Ahmed Tinubu's childhood friend and University mate.\n\nShame to the naysayers. \xf0\x9f\x98\x8b\xf0\x9f\x98\x8b https://t.co/ggCOyay67q"""
2022-11-18 23:25:39+00:00,"b'RT @Chioma_Uzodimma: It was an honour to host the Presidential Flagbearer of our great party, the All Progressives Congress (APC), Asiwaju\xe2\x80\xa6'"
2022-11-18 23:25:15+00:00,"b'RT @AkwariCharles: If you know any of Bola Ahmed Tinubu\xe2\x80\x99s classmate- primary, secondary or university I have 3 million naira for him/ her.'"
2022-11-18 23:24:58+00:00,b'RT @mindset_tweet: Bola Ahmed Tinubu is Physically and mentally unfit to be a Presidential candidate'
2022-11-18 23:24:42+00:00,"b'RT @AkwariCharles: If you know any of Bola Ahmed Tinubu\xe2\x80\x99s classmate- primary, secondary or university I have 3 million naira for him/ her.'"
2022-11-18 23:23:57+00:00,b'RT @legendkomedian: Bola Ahmed Tinubu followers are the foes of this country..\nThey are fanatical in their approach and radically subjectiv\xe2\x80\xa6'
2022-11-18 23:23:49+00:00,"b'RT @FirstObidient: If at this point you\xe2\x80\x99re still package Bola Ahmed Tinubu and the APC for us and you\xe2\x80\x99re processing your japa visa, I pray\xe2\x80\xa6'"
2022-11-18 23:23:37+00:00,"b'RT @Qdpaper2: Asiwaju Bola Ahmed Tinubu will be in Delta state Tomorrow, the man you call Baba Blue will be campaigning in the state of his\xe2\x80\xa6'"
2022-11-18 23:23:29+00:00,b'RT @DOlusegun: When I hear the allegation that I want to islamize nigeria when i cannot islamize my house -Asiwaju Bola Ahmed Tinubu #CANMe\xe2\x80\xa6'
2022-11-18 23:23:01+00:00,b'RT @legendkomedian: Bola Ahmed Tinubu followers are the foes of this country..\nThey are fanatical in their approach and radically subjectiv\xe2\x80\xa6'
2022-11-18 23:22:56+00:00,"b""RT @DavidHundeyin: For those who still haven't read it, this is the story that contains all the receipts showing that APC presidential cand\xe2\x80\xa6"""
2022-11-18 23:22:53+00:00,b'RT @Kamiyo_A: This is night approach at Runway 18L/ 36R Murtala Muhammed Airport... Buhari and APC has restored and still restoring our los\xe2\x80\xa6'
2022-11-18 23:22:51+00:00,"b""RT @DavidHundeyin: For those who still haven't read it, this is the story that contains all the receipts showing that APC presidential cand\xe2\x80\xa6"""
2022-11-18 23:22:48+00:00,"b'RT @Chioma_Uzodimma: It was an honour to host the Presidential Flagbearer of our great party, the All Progressives Congress (APC), Asiwaju\xe2\x80\xa6'"
2022-11-18 23:22:38+00:00,b'RT @mindset_tweet: Bola Ahmed Tinubu is Physically and mentally unfit to be a Presidential candidate'
2022-11-18 23:22:23+00:00,b'RT @adamugarba: Here is my response to @DavidHundeyin \xe2\x80\x98s many conspiratorial publications againt Asiwaju Bola Ahmed Tinubu @officialABAT. I\xe2\x80\xa6'
2022-11-18 23:22:20+00:00,"b'RT @omonlakiki: 1. It is no longer news that on October 4, 1993, Bola Ahmed Tinubu forfeited $460,000 to the United States Government for h\xe2\x80\xa6'"
2022-11-18 23:21:57+00:00,b'RT @Jagun_Labi1: This is a Bola Ahmed Tinubu appreciation tweet.\n\nHe\xe2\x80\x99s been going through so much lately from the propaganda about his pers\xe2\x80\xa6'
2022-11-18 23:21:51+00:00,"b'RT @DavidHundeyin: 1: The gender of the ""Bola A. Tinubu"" who was admitted into @ChicagoState\n\n2: The D.O.B. of the same ""Bola A. Tinubu""\n\n3\xe2\x80\xa6'"
2022-11-18 23:21:49+00:00,"b'RT @Qdpaper2: Asiwaju Bola Ahmed Tinubu will be in Delta state Tomorrow, the man you call Baba Blue will be campaigning in the state of his\xe2\x80\xa6'"
2022-11-18 23:20:56+00:00,"b'RT @AkwariCharles: If you know any of Bola Ahmed Tinubu\xe2\x80\x99s classmate- primary, secondary or university I have 3 million naira for him/ her.'"
2022-11-18 23:20:35+00:00,"b'RT @Chioma_Uzodimma: It was an honour to host the Presidential Flagbearer of our great party, the All Progressives Congress (APC), Asiwaju\xe2\x80\xa6'"
2022-11-18 23:20:33+00:00,"b'RT @FirstObidient: If at this point you\xe2\x80\x99re still package Bola Ahmed Tinubu and the APC for us and you\xe2\x80\x99re processing your japa visa, I pray\xe2\x80\xa6'"
2022-11-18 23:20:28+00:00,b'RT @DavidHundeyin: Forged Chicago State University certificate? Check.\n\nFalse works history claims? Check.\n\nFailure to disclose apparent du\xe2\x80\xa6'
2022-11-18 23:20:02+00:00,"b'RT @AkwariCharles: If you know any of Bola Ahmed Tinubu\xe2\x80\x99s classmate- primary, secondary or university I have 3 million naira for him/ her.'"
2022-11-18 23:18:52+00:00,"b'RT @AkwariCharles: If you know any of Bola Ahmed Tinubu\xe2\x80\x99s classmate- primary, secondary or university I have 3 million naira for him/ her.'"
2022-11-18 23:18:42+00:00,"b'RT @AkwariCharles: If you know any of Bola Ahmed Tinubu\xe2\x80\x99s classmate- primary, secondary or university I have 3 million naira for him/ her.'"
2022-11-18 23:18:38+00:00,b'RT @adamugarba: Here is my response to @DavidHundeyin \xe2\x80\x98s many conspiratorial publications againt Asiwaju Bola Ahmed Tinubu @officialABAT. I\xe2\x80\xa6'
2022-11-18 23:18:32+00:00,"b'RT @FirstObidient: If at this point you\xe2\x80\x99re still package Bola Ahmed Tinubu and the APC for us and you\xe2\x80\x99re processing your japa visa, I pray\xe2\x80\xa6'"
2022-11-18 23:18:18+00:00,"b'RT @AderonkeW: Two thousand South eastern businessmen have contributed N1 billion to support the campaign of As\xc3\xadw\xc3\xa1j\xc3\xba Bola Ahmed Tinubu, the\xe2\x80\xa6'"
2022-11-18 23:18:01+00:00,b'RT @adamugarba: Here is my response to @DavidHundeyin \xe2\x80\x98s many conspiratorial publications againt Asiwaju Bola Ahmed Tinubu @officialABAT. I\xe2\x80\xa6'
2022-11-18 23:17:46+00:00,b'RT @adamugarba: Here is my response to @DavidHundeyin \xe2\x80\x98s many conspiratorial publications againt Asiwaju Bola Ahmed Tinubu @officialABAT. I\xe2\x80\xa6'
2022-11-18 23:17:44+00:00,b'RT @IU_Wakilii: Asiwaju Bola Ahmed Tinubu Managed To Fix Things No One Thought Fixable\n\nLagos State emerged as a truly habitable state afte\xe2\x80\xa6'
2022-11-18 23:17:23+00:00,"b""RT @DavidHundeyin: For those who still haven't read it, this is the story that contains all the receipts showing that APC presidential cand\xe2\x80\xa6"""
2022-11-18 23:16:49+00:00,"b'RT @DavidHundeyin: 1: The gender of the ""Bola A. Tinubu"" who was admitted into @ChicagoState\n\n2: The D.O.B. of the same ""Bola A. Tinubu""\n\n3\xe2\x80\xa6'"
2022-11-18 23:16:34+00:00,b'RT @legendkomedian: Bola Ahmed Tinubu followers are the foes of this country..\nThey are fanatical in their approach and radically subjectiv\xe2\x80\xa6'
2022-11-18 23:16:21+00:00,"b""RT @DavidHundeyin: For those who still haven't read it, this is the story that contains all the receipts showing that APC presidential cand\xe2\x80\xa6"""
2022-11-18 23:16:20+00:00,"b'RT @AkwariCharles: If you know any of Bola Ahmed Tinubu\xe2\x80\x99s classmate- primary, secondary or university I have 3 million naira for him/ her.'"
2022-11-18 23:15:47+00:00,b'RT @legendkomedian: Bola Ahmed Tinubu followers are the foes of this country..\nThey are fanatical in their approach and radically subjectiv\xe2\x80\xa6'
2022-11-18 23:15:37+00:00,"b""RT @Jessehallidaygi: Bola Ahmed Tinubu did not build lagos, let's stop misinformation the public, I'm an APC Member but i will not buy into\xe2\x80\xa6"""
2022-11-18 23:15:32+00:00,b'RT @DavidHundeyin: Forged Chicago State University certificate? Check.\n\nFalse works history claims? Check.\n\nFailure to disclose apparent du\xe2\x80\xa6'
2022-11-18 23:14:59+00:00,"b'RT @AkwariCharles: If you know any of Bola Ahmed Tinubu\xe2\x80\x99s classmate- primary, secondary or university I have 3 million naira for him/ her.'"
2022-11-18 23:14:20+00:00,"b'RT @AkwariCharles: If you know any of Bola Ahmed Tinubu\xe2\x80\x99s classmate- primary, secondary or university I have 3 million naira for him/ her.'"
2022-11-18 23:13:50+00:00,"b'RT @FirstObidient: If at this point you\xe2\x80\x99re still package Bola Ahmed Tinubu and the APC for us and you\xe2\x80\x99re processing your japa visa, I pray\xe2\x80\xa6'"
2022-11-18 23:13:42+00:00,"b'RT @jadesolar_01: Nigerians have waited for so long to have a smart, intelligent, tested and trusted character like Asiwaju Bola Ahmed Tinu\xe2\x80\xa6'"
2022-11-18 23:13:21+00:00,"b'RT @OvieNews: FLASH: Some 2000 South eastern businessmen have contributed N1 billion to support the campaign of As\xc3\xadw\xc3\xa1j\xc3\xba Bola Ahmed Tinubu,\xe2\x80\xa6'"
2022-11-18 23:12:51+00:00,"b""RT @DavidHundeyin: For those who still haven't read it, this is the story that contains all the receipts showing that APC presidential cand\xe2\x80\xa6"""
2022-11-18 23:12:49+00:00,b'RT @legendkomedian: Bola Ahmed Tinubu followers are the foes of this country..\nThey are fanatical in their approach and radically subjectiv\xe2\x80\xa6'
2022-11-18 23:12:35+00:00,"b""RT @kokomatic: Meet Bola Ahmed Tinubu's childhood friend and University mate.\n\nShame to the naysayers. \xf0\x9f\x98\x8b\xf0\x9f\x98\x8b https://t.co/ggCOyay67q"""
2022-11-18 23:12:33+00:00,"b'RT @Jessehallidaygi: Femi Fani Kayode is paid to lie to you, That is his Job. We will match their lies with facts!!! \nObidients, Gather her\xe2\x80\xa6'"
2022-11-18 23:12:20+00:00,"b""RT @DavidHundeyin: For those who still haven't read it, this is the story that contains all the receipts showing that APC presidential cand\xe2\x80\xa6"""
